ID,TIMESTAMP,ACTIVIDAD
3,2019-08-28 00:26:59.997,CREATE
3,2019-08-28 00:27:00.935,CREATE
4,2019-08-28 13:32:24.344,CREATE
4,2019-08-28 13:32:25.767,CREATE
5,2019-08-28 13:34:27.444,CREATE
5,2019-08-28 13:34:28.460,CREATE
7,2019-08-28 17:44:05.144,CREATE
7,2019-08-28 17:44:06.963,CREATE
10,2019-08-28 21:21:15.096,CREATE
10,2019-08-28 21:21:16.124,CREATE
10,2019-08-28 22:09:46.262,UPDATE
10,2019-08-28 22:11:03.583,UPDATE
11,2019-08-29 13:15:47.472,CREATE
11,2019-08-29 13:15:48.956,CREATE
12,2019-08-29 13:26:53.298,CREATE
12,2019-08-29 13:26:55.079,CREATE
12,2019-08-29 13:58:34.685,UPDATE
12,2019-08-29 13:58:46.217,UPDATE
11,2019-08-29 14:07:47.300,UPDATE
12,2019-08-29 14:14:03.813,RESOLUTION ADD
12,2019-08-29 14:14:03.875,UPDATE
12,2019-08-29 14:16:27.740,SOLUTIONASSOCIATION
3,2019-08-29 14:32:18.581,UPDATE
4,2019-08-29 14:34:15.182,UPDATE
11,2019-08-29 14:35:17.371,UPDATE
11,2019-08-29 14:44:14.373,RESOLUTION ADD
11,2019-08-29 14:44:14.529,UPDATE
12,2019-08-29 14:48:12.896,RESOLUTION UPDATE
12,2019-08-29 14:48:13.099,UPDATE
12,2019-08-29 14:48:55.022,UPDATE
11,2019-08-29 14:50:44.417,UPDATE
11,2019-08-29 14:51:34.436,RESOLUTION UPDATE
11,2019-08-29 14:51:34.514,UPDATE
5,2019-08-29 14:54:56.506,UPDATE
5,2019-08-29 14:55:25.461,RESOLUTION ADD
5,2019-08-29 14:55:25.586,UPDATE
15,2019-08-29 15:14:13.702,CREATE
15,2019-08-29 15:14:15.296,CREATE
16,2019-08-29 15:14:59.188,CREATE
16,2019-08-29 15:15:00.579,CREATE
15,2019-08-29 15:32:20.793,UPDATE
15,2019-08-29 15:35:53.186,RESOLUTION ADD
15,2019-08-29 15:36:00.171,UPDATE
15,2019-08-29 15:39:24.229,SOLUTIONASSOCIATION
17,2019-08-29 15:39:27.182,CREATE
17,2019-08-29 15:39:28.432,CREATE
12,2019-08-29 15:54:21.373,RESOLUTION UPDATE
12,2019-08-29 15:54:21.530,UPDATE
11,2019-08-29 15:56:45.324,RESOLUTION UPDATE
11,2019-08-29 15:56:45.480,UPDATE
11,2019-08-29 15:56:45.527,RESOLVED
11,2019-08-29 15:56:45.527,UPDATE
12,2019-08-29 15:59:11.378,RESOLUTION UPDATE
12,2019-08-29 15:59:11.456,UPDATE
12,2019-08-29 15:59:11.534,RESOLVED
12,2019-08-29 15:59:11.534,UPDATE
12,2019-08-29 15:59:45.660,SOLUTIONASSOCIATION
19,2019-08-29 16:02:31.127,CREATE
19,2019-08-29 16:02:32.455,CREATE
20,2019-08-29 16:09:30.565,CREATE
20,2019-08-29 16:09:32.002,CREATE
15,2019-08-29 16:12:54.993,RESOLUTION UPDATE
15,2019-08-29 16:12:55.227,UPDATE
15,2019-08-29 16:12:55.321,RESOLVED
15,2019-08-29 16:12:55.321,UPDATE
15,2019-08-29 16:13:12.727,SOLUTIONASSOCIATION
16,2019-08-29 16:24:12.630,UPDATE
16,2019-08-29 16:26:32.021,SOLUTIONASSOCIATION
16,2019-08-29 16:26:32.036,RESOLUTION ADD
16,2019-08-29 16:26:32.130,UPDATE
16,2019-08-29 16:28:07.087,RESOLUTION UPDATE
16,2019-08-29 16:28:07.261,UPDATE
16,2019-08-29 16:30:07.619,RESOLUTION UPDATE
16,2019-08-29 16:30:07.682,UPDATE
16,2019-08-29 16:30:18.150,SOLUTIONASSOCIATION
16,2019-08-29 16:30:53.152,RESOLUTION UPDATE
16,2019-08-29 16:30:53.245,UPDATE
16,2019-08-29 16:32:32.286,UPDATE
16,2019-08-29 16:33:05.411,RESOLUTION UPDATE
16,2019-08-29 16:33:05.505,UPDATE
16,2019-08-29 16:33:05.536,RESOLVED
16,2019-08-29 16:33:05.536,UPDATE
24,2019-08-29 16:40:02.915,CREATE
24,2019-08-29 16:40:04.290,CREATE
25,2019-08-29 16:42:10.151,CREATE
25,2019-08-29 16:42:11.528,CREATE
17,2019-08-29 16:55:58.782,UPDATE
26,2019-08-29 16:56:35.191,CREATE
26,2019-08-29 16:56:36.816,CREATE
27,2019-08-29 18:01:05.243,CREATE
27,2019-08-29 18:01:06.696,CREATE
28,2019-08-29 18:17:49.920,CREATE
28,2019-08-29 18:17:51.545,CREATE
27,2019-08-29 18:27:21.112,UPDATE
27,2019-08-29 18:27:27.270,UPDATE
27,2019-08-29 18:27:27.364,UPDATE
27,2019-08-29 18:27:34.629,UPDATE
27,2019-08-29 18:27:34.801,UPDATE
27,2019-08-29 18:30:01.149,UPDATE
29,2019-08-29 18:36:41.369,CREATE
29,2019-08-29 18:36:42.713,CREATE
29,2019-08-29 18:55:20.981,UPDATE
29,2019-08-29 18:58:06.267,RESOLUTION ADD
29,2019-08-29 18:58:07.346,RESOLUTION UPDATE
29,2019-08-29 18:58:07.829,RESOLUTION UPDATE
29,2019-08-29 18:58:14.610,UPDATE
29,2019-08-29 18:58:14.673,RESOLVED
29,2019-08-29 18:58:14.673,UPDATE
29,2019-08-29 18:58:19.972,UPDATE
29,2019-08-29 18:58:20.675,UPDATE
29,2019-08-29 18:59:17.535,SOLUTIONASSOCIATION
29,2019-08-29 19:05:53.452,SOLUTIONASSOCIATION
30,2019-08-29 19:41:12.866,CREATE
30,2019-08-29 19:41:14.991,CREATE
30,2019-08-29 19:44:48.154,UPDATE
30,2019-08-29 20:05:31.602,RESOLUTION ADD
30,2019-08-29 20:05:38.322,UPDATE
30,2019-08-29 20:05:38.431,RESOLVED
30,2019-08-29 20:05:38.431,UPDATE
30,2019-08-29 20:06:16.946,SOLUTIONASSOCIATION
32,2019-08-29 20:12:56.592,CREATE
32,2019-08-29 20:12:57.967,CREATE
3,2019-08-29 20:23:48.536,RESOLUTION ADD
3,2019-08-29 20:23:55.896,UPDATE
27,2019-08-29 20:24:06.333,UPDATE
27,2019-08-29 20:27:39.759,RESOLUTION ADD
27,2019-08-29 20:27:46.571,UPDATE
33,2019-08-29 20:28:16.024,CREATE
33,2019-08-29 20:28:16.884,CREATE
27,2019-08-29 20:28:40.713,UPDATE
3,2019-08-29 20:28:59.229,RESOLUTION UPDATE
3,2019-08-29 20:28:59.354,UPDATE
3,2019-08-29 20:28:59.432,RESOLVED
3,2019-08-29 20:28:59.432,UPDATE
27,2019-08-29 20:29:25.813,RESOLUTION UPDATE
27,2019-08-29 20:29:26.031,UPDATE
27,2019-08-29 20:30:36.456,UPDATE
27,2019-08-29 20:31:03.017,RESOLUTION UPDATE
27,2019-08-29 20:31:03.378,UPDATE
33,2019-08-29 20:31:03.378,UPDATE
27,2019-08-29 20:31:03.486,RESOLVED
27,2019-08-29 20:31:03.486,UPDATE
33,2019-08-29 20:41:52.705,RESOLUTION ADD
33,2019-08-29 20:41:57.736,UPDATE
33,2019-08-29 20:41:57.814,RESOLVED
33,2019-08-29 20:41:57.814,UPDATE
33,2019-08-29 20:43:39.754,SOLUTIONASSOCIATION
10,2019-08-29 21:17:38.326,SOLUTIONASSOCIATION
10,2019-08-29 21:17:38.341,RESOLUTION ADD
10,2019-08-29 21:17:43.155,UPDATE
10,2019-08-29 21:17:43.216,RESOLVED
10,2019-08-29 21:17:43.216,UPDATE
4,2019-08-29 21:18:46.984,RESOLUTION ADD
4,2019-08-29 21:18:51.781,UPDATE
4,2019-08-29 21:18:51.890,RESOLVED
4,2019-08-29 21:18:51.890,UPDATE
5,2019-08-29 21:21:28.053,UPDATE
5,2019-08-29 21:22:26.870,RESOLUTION UPDATE
5,2019-08-29 21:22:31.932,UPDATE
5,2019-08-29 21:22:31.994,RESOLVED
5,2019-08-29 21:22:31.994,UPDATE
34,2019-08-29 22:09:48.578,CREATE
34,2019-08-29 22:09:49.703,CREATE
35,2019-08-30 13:33:59.152,CREATE
35,2019-08-30 13:34:00.496,CREATE
35,2019-08-30 13:36:54.944,UPDATE
34,2019-08-30 14:30:58.852,RESOLUTION ADD
34,2019-08-30 14:31:04.524,UPDATE
34,2019-08-30 14:31:40.121,UPDATE
34,2019-08-30 14:32:07.004,RESOLUTION UPDATE
34,2019-08-30 14:32:07.286,UPDATE
34,2019-08-30 14:32:07.458,RESOLVED
34,2019-08-30 14:32:07.458,UPDATE
34,2019-08-30 14:32:23.952,SOLUTIONASSOCIATION
35,2019-08-30 14:33:17.558,RESOLUTION ADD
35,2019-08-30 14:33:23.070,UPDATE
35,2019-08-30 14:33:23.133,RESOLVED
35,2019-08-30 14:33:23.133,UPDATE
35,2019-08-30 14:33:37.888,SOLUTIONASSOCIATION
32,2019-08-30 14:36:21.846,UPDATE
32,2019-08-30 15:59:33.151,RESOLUTION ADD
32,2019-08-30 15:59:39.308,UPDATE
32,2019-08-30 15:59:39.495,RESOLVED
32,2019-08-30 15:59:39.495,UPDATE
32,2019-08-30 16:02:47.804,SOLUTIONASSOCIATION
36,2019-08-30 16:14:46.909,CREATE
36,2019-08-30 16:14:48.299,CREATE
37,2019-08-30 16:19:59.960,CREATE
37,2019-08-30 16:20:01.804,CREATE
36,2019-08-30 16:22:07.704,UPDATE
38,2019-08-30 16:24:15.290,CREATE
38,2019-08-30 16:24:16.696,CREATE
37,2019-08-30 16:24:48.975,UPDATE
36,2019-08-30 16:52:17.133,UPDATE
37,2019-08-30 18:44:17.910,SOLUTIONASSOCIATION
37,2019-08-30 18:44:17.941,RESOLUTION ADD
37,2019-08-30 18:44:23.599,UPDATE
37,2019-08-30 18:44:23.630,RESOLVED
37,2019-08-30 18:44:23.630,UPDATE
38,2019-08-30 18:51:12.253,RESOLUTION ADD
38,2019-08-30 18:51:17.335,RESOLUTION UPDATE
38,2019-08-30 18:51:18.351,UPDATE
38,2019-08-30 18:51:22.913,UPDATE
38,2019-08-30 18:51:45.039,RESOLUTION UPDATE
38,2019-08-30 18:51:45.164,UPDATE
38,2019-08-30 18:52:19.158,UPDATE
38,2019-08-30 18:52:51.899,RESOLUTION UPDATE
38,2019-08-30 18:52:52.056,UPDATE
38,2019-08-30 18:52:52.134,RESOLVED
38,2019-08-30 18:52:52.134,UPDATE
38,2019-08-30 18:53:03.368,SOLUTIONASSOCIATION
39,2019-08-30 19:28:50.471,CREATE
39,2019-08-30 19:28:51.648,CREATE
40,2019-08-30 19:31:36.675,CREATE
40,2019-08-30 19:31:38.175,CREATE
40,2019-08-30 19:54:02.898,UPDATE
39,2019-08-30 19:55:38.730,UPDATE
40,2019-08-30 19:58:44.839,DELETE
39,2019-08-30 19:58:44.948,DELETE
38,2019-08-30 19:58:45.151,DELETE
37,2019-08-30 19:58:45.276,DELETE
36,2019-08-30 19:58:45.401,DELETE
35,2019-08-30 19:58:45.464,DELETE
34,2019-08-30 19:58:45.542,DELETE
33,2019-08-30 19:58:45.636,DELETE
32,2019-08-30 19:58:45.776,DELETE
30,2019-08-30 19:58:45.917,DELETE
29,2019-08-30 19:58:46.026,DELETE
28,2019-08-30 19:58:46.073,DELETE
27,2019-08-30 19:58:46.168,DELETE
26,2019-08-30 19:58:46.261,DELETE
25,2019-08-30 19:58:46.292,DELETE
24,2019-08-30 19:58:46.339,DELETE
20,2019-08-30 19:58:46.604,DELETE
19,2019-08-30 19:58:46.651,DELETE
17,2019-08-30 19:58:46.745,DELETE
16,2019-08-30 19:58:46.855,DELETE
15,2019-08-30 19:58:56.918,DELETE
12,2019-08-30 19:58:57.184,DELETE
11,2019-08-30 19:58:57.262,DELETE
10,2019-08-30 19:58:57.325,DELETE
7,2019-08-30 19:58:57.512,DELETE
5,2019-08-30 19:58:57.715,DELETE
4,2019-08-30 19:58:57.778,DELETE
3,2019-08-30 19:58:57.825,DELETE
40,2019-08-30 20:27:37.187,RESTORE
39,2019-08-30 20:27:37.203,RESTORE
38,2019-08-30 20:27:37.234,RESTORE
37,2019-08-30 20:27:37.249,RESTORE
36,2019-08-30 20:27:37.312,RESTORE
35,2019-08-30 20:27:37.328,RESTORE
34,2019-08-30 20:27:37.359,RESTORE
33,2019-08-30 20:27:37.374,RESTORE
32,2019-08-30 20:27:37.406,RESTORE
30,2019-08-30 20:27:37.562,RESTORE
29,2019-08-30 20:27:37.578,RESTORE
28,2019-08-30 20:27:37.609,RESTORE
27,2019-08-30 20:27:37.656,RESTORE
26,2019-08-30 20:27:37.718,RESTORE
25,2019-08-30 20:27:37.765,RESTORE
24,2019-08-30 20:27:37.781,RESTORE
20,2019-08-30 20:27:37.890,RESTORE
19,2019-08-30 20:27:37.968,RESTORE
17,2019-08-30 20:27:38.031,RESTORE
16,2019-08-30 20:27:38.046,RESTORE
15,2019-08-30 20:27:47.570,RESTORE
12,2019-08-30 20:27:47.664,RESTORE
11,2019-08-30 20:27:47.680,RESTORE
10,2019-08-30 20:27:47.695,RESTORE
7,2019-08-30 20:27:47.805,RESTORE
5,2019-08-30 20:27:47.852,RESTORE
4,2019-08-30 20:27:47.883,RESTORE
3,2019-08-30 20:27:47.915,RESTORE
40,2019-08-30 20:51:00.331,SOLUTIONASSOCIATION
40,2019-08-30 20:51:00.347,RESOLUTION ADD
40,2019-08-30 20:51:06.117,UPDATE
40,2019-08-30 20:52:10.818,RESOLUTION UPDATE
40,2019-08-30 20:52:10.974,UPDATE
40,2019-08-30 20:52:32.091,UPDATE
40,2019-08-30 20:53:14.302,RESOLUTION UPDATE
40,2019-08-30 20:53:14.599,UPDATE
40,2019-08-30 20:53:14.708,RESOLVED
40,2019-08-30 20:53:14.708,UPDATE
39,2019-08-30 20:54:05.713,UPDATE
39,2019-08-30 20:55:03.935,RESOLUTION ADD
39,2019-08-30 20:55:04.232,UPDATE
39,2019-08-30 20:55:04.342,RESOLVED
39,2019-08-30 20:55:04.342,UPDATE
28,2019-08-30 20:56:50.374,UPDATE
28,2019-08-30 20:57:54.363,SOLUTIONASSOCIATION
28,2019-08-30 20:57:54.394,RESOLUTION ADD
28,2019-08-30 20:58:00.300,UPDATE
28,2019-08-30 21:26:41.927,UPDATE
28,2019-08-30 21:27:34.575,SOLUTIONASSOCIATION
28,2019-08-30 21:27:34.599,RESOLUTION UPDATE
28,2019-08-30 21:27:34.876,UPDATE
28,2019-08-30 21:27:35.062,RESOLVED
28,2019-08-30 21:27:35.062,UPDATE
26,2019-08-30 21:57:55.820,RESOLUTION ADD
26,2019-08-30 21:58:01.058,UPDATE
7,2019-09-02 12:19:15.925,UPDATE
7,2019-09-02 12:19:56.497,SOLUTIONASSOCIATION
7,2019-09-02 12:19:56.509,RESOLUTION ADD
7,2019-09-02 12:19:56.674,UPDATE
7,2019-09-02 12:19:56.819,RESOLVED
7,2019-09-02 12:19:56.819,UPDATE
17,2019-09-02 12:21:11.316,UPDATE
17,2019-09-02 12:21:43.329,SOLUTIONASSOCIATION
17,2019-09-02 12:21:43.339,RESOLUTION ADD
17,2019-09-02 12:21:43.490,UPDATE
17,2019-09-02 12:21:43.556,RESOLVED
17,2019-09-02 12:21:43.556,UPDATE
19,2019-09-02 12:22:41.420,UPDATE
19,2019-09-02 12:23:40.320,SOLUTIONASSOCIATION
19,2019-09-02 12:23:40.355,RESOLUTION ADD
19,2019-09-02 12:23:40.626,UPDATE
19,2019-09-02 12:23:40.689,RESOLVED
19,2019-09-02 12:23:40.689,UPDATE
20,2019-09-02 12:24:45.299,UPDATE
20,2019-09-02 12:25:39.422,SOLUTIONASSOCIATION
20,2019-09-02 12:25:39.437,RESOLUTION ADD
20,2019-09-02 12:25:39.580,UPDATE
20,2019-09-02 12:25:39.644,RESOLVED
20,2019-09-02 12:25:39.644,UPDATE
